exp	dataset	feature	endpoint	variant	path	epoch	val_c_index	test_c_index	val_events	test_events
TCGA_BLCA_R50_OS	BLCA	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-07_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	2	0.5895334174022698	0.5426065162907269	35	35.0
TCGA_BLCA_R50_OS	BLCA	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-18_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	5	0.5365699873896596	0.5281954887218046	35	35.0
TCGA_BLCA_R50_OS	BLCA	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	23	0.5176544766708702	0.5789473684210527	35	35.0
TCGA_BLCA_R50_OS	BLCA	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-14_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	14	0.5138713745271122	0.5789473684210527	35	35.0
TCGA_BLCA_R50_OS	BLCA	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-13_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	3	0.5088272383354351	0.5626566416040101	35	35.0
TCGA_BLCA_UNI_OS_MAX	BLCA	UNI	OS	MAX	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MAX/SURVIVAL_MIL/time_2026-07-16-03-58_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL.csv	15	0.5504413619167717	0.6578947368421053	35	35.0
TCGA_BLCA_UNI_OS_MIR	BLCA	UNI	OS	MIR	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MIR/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_MIR_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_MIR_SURVIVAL_MIL.csv	12	0.5580075662042875	0.5795739348370927	35	35.0
TCGA_BLCA_UNI_OS_RRT	BLCA	UNI	OS	RRT	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_RRT/SURVIVAL_MIL/time_2026-07-16-03-55_TCGA_BLCA_UNI_OS_RRT_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_RRT_SURVIVAL_MIL.csv	9	0.5983606557377049	0.606516290726817	35	35.0
TCGA_BLCA_UNI_OS	BLCA	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-47_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	2	0.5769230769230769	0.6372180451127819	35	35.0
TCGA_BLCA_UNI_OS	BLCA	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-46_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	12	0.5580075662042875	0.5795739348370927	35	35.0
TCGA_BLCA_UNI_OS	BLCA	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-48_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	8	0.5372005044136192	0.6322055137844611	35	35.0
TCGA_BLCA_UNI_OS	BLCA	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-52_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	2	0.5145018915510718	0.6322055137844611	35	35.0
TCGA_KIRC_R50_OS	KIRC	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-52_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	20	0.7019230769230769	0.7604267701260912	25	25.0
TCGA_KIRC_R50_OS	KIRC	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-16_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	20	0.6809440559440559	0.6110572259941804	25	25.0
TCGA_KIRC_R50_OS	KIRC	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-29_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	11	0.6625874125874126	0.584384093113482	25	25.0
TCGA_KIRC_R50_OS	KIRC	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	29	0.6206293706293706	0.6935014548981572	25	25.0
TCGA_KIRC_R50_OS	KIRC	R50	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	29	0.541083916083916	0.6042677012609118	25	25.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-33_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	19	0.735236220472441	0.6438356164383562	23	22.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-21_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	3	0.7007874015748031	0.6164383561643836	23	22.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-14_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	9	0.6988188976377953	0.6203522504892368	23	22.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-48_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	3	0.6919291338582677	0.6115459882583171	23	22.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	4	0.6820866141732284	0.6252446183953033	23	22.0
TCGA_KIRC_R50_PFS	KIRC	R50	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	2	0.5334645669291339	0.5391389432485323	23	22.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-30_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	8	0.7736013986013986	0.7759456838021338	25	25.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-46_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	5	0.7368881118881119	0.7866149369544132	25	25.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-08_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	6	0.7281468531468531	0.7807953443258971	25	25.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	2	0.7263986013986014	0.7187196896217265	25	25.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	6	0.7062937062937062	0.7759456838021338	25	25.0
TCGA_KIRC_UNI_OS	KIRC	UNI	OS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-19_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	4	0.6722027972027972	0.7478176527643065	25	25.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-02-47_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	5	0.7549212598425197	0.7837573385518591	23	22.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-03-20_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	1	0.7529527559055118	0.7553816046966731	23	22.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-02-08_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	1	0.7529527559055118	0.7690802348336595	23	22.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-02-36_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	2	0.7470472440944882	0.700587084148728	23	22.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-03-30_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	4	0.7431102362204725	0.7289628180039139	23	22.0
TCGA_KIRC_UNI_PFS	KIRC	UNI	PFS	SURVIVAL_MIL	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	1	0.7411417322834646	0.738747553816047	23	22.0
